plate_group_label,assay_plate_label,well_position,assay_read_on,col,row,raw_assay_value,volume_uL,MDL,Filled On,Run Number,Filtered out at 12:22:45 PM
PG-4586,833283,F8,4/4/2017 10:17,8,6,1.2691,236.070689,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,F4,4/4/2017 10:17,4,6,1.2656,235.399424,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,C9,4/4/2017 10:17,9,3,1.2675,235.763825,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,A12,4/4/2017 10:17,12,1,1.2647,235.226813,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,B9,4/4/2017 10:17,9,2,1.2696,236.166584,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H12,4/4/2017 10:17,12,8,1.2514,232.676006,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H6,4/4/2017 10:17,6,8,1.2624,234.785696,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E11,4/4/2017 10:17,11,5,1.259,234.13361,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E9,4/4/2017 10:17,9,5,1.266,235.47614,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,E4,4/4/2017 10:17,4,5,1.2718,236.588522,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,D11,4/4/2017 10:17,11,4,1.2677,235.802183,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H7,4/4/2017 10:17,7,8,1.2693,236.109047,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H5,4/4/2017 10:17,5,8,1.2552,233.404808,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,D3,4/4/2017 10:17,3,4,1.271,236.43509,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,H4,4/4/2017 10:17,4,8,1.2643,235.150097,MDL-7658,4/4/2017,1,Untagged
PG-4586,833283,F3,4/4/2017 10:17,3,6,1.2536,233.097944,MDL-7658,4/4/2017,1,Untagged
